Orthogroup	Mmicro	Mlepra
OG0000423	AMC57704.1	CAC32092.1
OG0000424	AMC57709.1	CAC32088.1
OG0000425	AMC57722.1	CAC32081.1
OG0000426	AMC57723.1	CAC32080.1
OG0000427	AMC57729.1	CAC32077.1
OG0000430	AMC57751.1	CAC32068.1
OG0000431	AMC57752.1	CAC32067.1
OG0000432	AMC57753.1	CAC32066.1
OG0000433	AMC57758.1	CAC32061.1
OG0000434	AMC57759.1	CAC32060.1
OG0000435	AMC57760.1	CAC32059.1
OG0000436	AMC57761.1	CAC32058.1
OG0000439	AMC57780.1	CAC32053.1
OG0000442	AMC57791.1	CAC32024.1
OG0000444	AMC57803.1	CAC32020.1
OG0000445	AMC57806.1	CAC32019.1
OG0000446	AMC57808.1	CAC32018.1
OG0000447	AMC57823.1	CAC32012.1
OG0000448	AMC57825.1	CAC32010.1
OG0000449	AMC57829.1	CAC29788.1
OG0000450	AMC57830.1	CAC29789.1
OG0000451	AMC57832.1	CAC29792.1
OG0000452	AMC57833.1	CAC29793.1
OG0000453	AMC57836.1	CAC29795.1
OG0000454	AMC57853.1	CAC32002.1
OG0000455	AMC57855.1	CAC32004.1
OG0000456	AMC57856.1	CAC32006.1
OG0000457	AMC57857.1	CAC32007.1
OG0000458	AMC57864.1	CAC29784.1
OG0000459	AMC57865.1	CAC29783.1
OG0000460	AMC57879.1	CAC29779.1
OG0000461	AMC57884.1	CAC29778.1
OG0000462	AMC57888.1	CAC29812.1
OG0000463	AMC57889.1	CAC29811.1
OG0000464	AMC57892.1	CAC29808.1
OG0000465	AMC57893.1	CAC29807.1
OG0000466	AMC57894.1	CAC29806.1
OG0000467	AMC57895.1	CAC29805.1
OG0000469	AMC57900.1	CAC29803.1
OG0000470	AMC57901.1	CAC29802.1
OG0000471	AMC57904.1	CAC30887.1
OG0000472	AMC57907.1	CAC30884.1
OG0000473	AMC57908.1	CAC30882.1
OG0000474	AMC57909.1	CAC30881.1
OG0000476	AMC57915.1	CAC29818.1
OG0000477	AMC57916.1	CAC29819.1
OG0000478	AMC57935.1	CAC31896.1
OG0000479	AMC57942.1	CAC31903.1
OG0000480	AMC57943.1	CAC31904.1
OG0000481	AMC57944.1	CAC31982.1
OG0000482	AMC57946.1	CAC31980.1
OG0000483	AMC57948.1	CAC31978.1
OG0000484	AMC57953.1	CAC31974.1
OG0000485	AMC57956.1	CAC31971.1
OG0000486	AMC57957.1	CAC31970.1
OG0000487	AMC57958.1	CAC31969.1
OG0000488	AMC57959.1	CAC31968.1
OG0000489	AMC57960.1	CAC31967.1
OG0000490	AMC57961.1	CAC31966.1
