Orthogroup	Mbovis	Mavium
OG0000071	ALV09819.1	AAS06637.1
OG0000071	ALV09434.1	AAS06157.1
OG0000072	ALV12835.1	AAS06639.1
OG0000072	ALV09435.1	AAS06159.1
OG0000073	ALV09473.1	AAS04681.1, AAS06145.1, AAS03762.1, AAS03755.1, AAS04052.1, AAS06205.1
OG0000074	ALV10623.1	AAS03512.1
OG0000074	ALV09502.1	AAS06244.1
OG0000075	ALV09518.1	AAS06257.1
OG0000075	ALV13043.1	AAS04419.1
OG0000077	ALV10264.1	AAS03340.1
OG0000077	ALV12400.1	AAS03773.1
OG0000078	ALV10397.1	AAS05763.1, AAS03666.1, AAS04028.1, AAS03087.1, AAS05645.1, AAS04876.1
OG0000079	ALV10517.1	AAS03266.1, AAS03663.1
OG0000080	ALV10580.1	AAS03475.1
OG0000080	ALV11497.1	AAS04618.1
OG0000081	ALV10695.1	AAS03788.1, AAS04791.1, AAS03382.1, AAS04499.1, AAS02443.1, AAS03580.1
OG0000082	ALV10823.1, ALV12980.1	AAS05092.1, AAS03763.1, AAS05055.1
OG0000083	ALV11073.1	AAS04071.1
OG0000083	ALV11094.1	AAS04058.1, AAS04059.1
OG0000084	ALV12746.1, ALV11144.1	AAS06876.1
OG0000085	ALV13202.1	AAS02847.1, AAS03013.1, AAS03750.1, AAS03008.1, AAS05948.1, AAS03800.1
OG0000086	ALV12630.1	AAS02587.1, AAS02572.1, AAS02584.1, AAS06860.1, AAS05745.1, AAS05672.1
OG0000088	ALV12121.1, ALV09340.1	AAS05841.1
OG0000089	ALV09344.1	AAS06597.1, AAS04036.1, AAS04043.1, AAS04100.1
OG0000090	ALV09345.1, ALV09684.1	AAS06483.1
OG0000091	ALV10283.1, ALV09347.1	AAS05016.1
OG0000093	ALV10317.1	AAS02615.1
OG0000093	ALV09709.1	AAS06509.1
OG0000094	ALV09754.1	AAS06561.1
OG0000094	ALV09998.1	AAS02925.1
OG0000095	ALV09762.1	AAS06576.1
OG0000096	ALV09794.1, ALV10185.1	AAS06608.1
OG0000097	ALV09978.1	AAS02745.1, AAS03167.1, AAS02906.1, AAS02570.1, AAS02981.1, AAS04619.1
OG0000099	ALV12853.1, ALV12056.1	AAS02962.1
OG0000100	ALV10059.1	AAS05902.1, AAS06867.1, AAS05823.1, AAS03006.1
OG0000101	ALV10261.1	AAS03094.1, AAS04714.1, AAS03910.1, AAS03334.1
OG0000102	ALV12280.1	AAS02547.1
OG0000102	ALV10435.1	AAS04820.1
OG0000103	ALV11910.1, ALV10662.1	AAS06310.1
OG0000104	ALV12976.1	AAS03774.1, AAS03648.1, AAS06016.1, AAS04417.1, AAS06015.1
OG0000105	ALV10946.1	AAS06459.1, AAS03112.1, AAS02492.1, AAS04666.1, AAS03880.1
OG0000106	ALV11994.1, ALV11047.1	AAS05643.1
OG0000107	ALV11095.1, ALV12065.1	AAS05818.1, AAS04057.1
OG0000108	ALV13008.1	AAS04116.1
OG0000109	ALV13245.1, ALV11145.1	AAS06875.1
OG0000110	ALV11911.1, ALV11468.1	AAS04589.1
OG0000111	ALV11368.1, ALV13061.1	AAS06289.1, AAS03949.1
OG0000113	ALV11668.1, ALV11669.1	AAS05122.1
OG0000114	ALV11957.1	AAS05586.1, AAS05803.1, AAS06062.1, AAS06225.1
OG0000115	ALV12312.1	AAS06646.1, AAS03063.1, AAS04974.1, AAS06025.1
OG0000116	ALV12412.1	AAS02880.1, AAS03075.1, AAS02410.1, AAS04167.1, AAS02424.1
OG0000117	ALV12415.1	AAS03046.1, AAS04662.1, AAS02984.1, AAS03070.1, AAS02877.1
OG0000118	ALV12475.1	AAS02814.1, AAS03765.1, AAS03973.1, AAS03402.1, AAS04339.1
OG0000119	ALV12681.1	AAS02523.1
OG0000119	ALV12680.1	AAS02524.1
OG0000121	ALV09286.1	AAS02324.1
OG0000122	ALV09354.1	AAS06841.1, AAS03285.1
OG0000123	ALV09540.1, ALV10099.1	AAS06327.1
OG0000124	ALV09546.1, ALV11972.1	AAS06333.1
OG0000125	ALV09547.1, ALV11971.1	AAS06334.1
OG0000126	ALV09606.1	AAS05036.1, AAS04696.1, AAS06420.1
OG0000127	ALV09653.1	AAS05668.1, AAS02688.1, AAS06434.1
OG0000128	ALV09677.1	AAS06822.1, AAS04448.1, AAS06471.1
OG0000129	ALV10018.1	AAS03422.1, AAS06055.1, AAS04569.1, AAS02945.1
OG0000130	ALV10036.1	AAS02961.1
OG0000131	ALV10136.1	AAS02589.1
OG0000132	ALV10043.1	AAS04519.1, AAS02975.1, AAS04521.1
OG0000133	ALV12863.1	AAS03104.1
OG0000134	ALV10327.1, ALV12906.1	AAS04956.1
OG0000135	ALV12934.1	AAS03084.1, AAS04424.1, AAS04426.1, AAS03067.1
OG0000136	ALV10539.1, ALV12016.1	AAS05699.1
OG0000137	ALV10638.1	AAS03524.1, AAS05985.1, AAS05984.1
OG0000138	ALV10649.1	AAS02991.1, AAS02990.1, AAS03543.1
OG0000139	ALV12994.1, ALV10651.1	AAS03545.1
OG0000141	ALV10894.1	AAS03470.1, AAS03836.1
OG0000142	ALV12988.1	AAS02661.1, AAS04350.1, AAS03920.1
OG0000143	ALV11013.1	AAS04667.1, AAS04973.1, AAS04703.1
OG0000144	ALV10862.1, ALV11083.1	AAS05549.1, AAS02346.1
OG0000145	ALV11099.1, ALV13142.1	AAS04060.1
OG0000146	ALV12621.1, ALV11344.1	AAS03183.1
OG0000147	ALV11419.1	AAS04125.1, AAS03427.1, AAS02461.1, AAS04527.1
OG0000148	ALV11571.1, ALV11570.1	AAS03391.1
OG0000149	ALV13181.1, ALV11667.1	AAS05120.1
OG0000150	ALV11707.1	AAS04640.1, AAS04379.1, AAS05838.1, AAS05160.1
OG0000151	ALV13096.1, ALV11798.1	AAS05220.1
OG0000152	ALV11898.1	AAS03553.1, AAS03554.1, AAS06082.1
OG0000154	ALV13119.1	AAS06699.1, AAS03224.1, AAS05555.1
OG0000155	ALV13144.1	AAS05738.1, AAS06068.1, AAS06353.1, AAS02580.1
OG0000156	ALV12148.1	AAS05875.1, AAS02989.1, AAS03759.1, AAS05673.1
OG0000157	ALV12154.1	AAS05893.1, AAS02413.1, AAS02414.1, AAS06096.1
OG0000158	ALV12237.1, ALV12254.1, ALV12220.1	AAS05973.1
OG0000159	ALV12239.1, ALV12222.1, ALV12256.1	AAS05975.1
OG0000160	ALV12240.1, ALV12257.1, ALV12223.1	AAS05976.1, AAS05035.1
OG0000161	ALV12259.1, ALV12242.1, ALV12225.1	AAS05979.1
OG0000162	ALV12260.1, ALV12243.1, ALV12226.1	AAS05980.1
OG0000163	ALV12246.1, ALV12263.1, ALV12229.1	AAS05983.1
OG0000164	ALV12231.1, ALV12265.1, ALV12248.1	AAS05988.1
OG0000165	ALV12250.1, ALV12233.1, ALV12267.1	AAS05990.1
OG0000166	ALV12234.1, ALV12268.1, ALV12251.1	AAS05991.1
OG0000167	ALV12252.1, ALV12235.1, ALV12269.1	AAS05992.1
OG0000168	ALV12850.1, ALV13172.1	AAS05836.1, AAS04269.1
OG0000169	ALV13173.1	AAS04483.1, AAS04087.1, AAS03263.1, AAS05996.1
OG0000170	ALV13176.1	AAS06009.1, AAS04007.1, AAS04392.1, AAS06647.1
OG0000171	ALV12301.1, ALV12291.1	AAS06012.1
OG0000173	ALV12449.1	AAS02843.1, AAS04906.1, AAS03778.1, AAS04656.1
OG0000174	ALV12474.1	AAS02815.1, AAS03769.1, AAS03017.1, AAS03010.1
OG0000175	ALV13214.1	AAS05012.1, AAS06816.1, AAS02743.1
OG0000176	ALV12612.1	AAS02448.1
OG0000177	ALV12632.1	AAS02901.1, AAS02643.1, AAS02578.1
OG0000178	ALV12634.1	AAS05939.1, AAS05941.1, AAS03538.1, AAS02576.1
OG0000179	ALV12659.1	AAS04136.1, AAS04135.1, AAS02551.1
